	SubjectID1	SubjectID2	Group1	Group2	Distance
118	6519888d.bb69.495b.b4b8.07d0d4333455	ea68ac1a.53e3.4523.924f.32ca1d2ac988	fmt-material	swab	0.6979120671232151
119	6519888d.bb69.495b.b4b8.07d0d4333455	c2e216e3.51c4.4894.8352.48d0fef7efc7	fmt-material	swab	0.6951512511557386
120	6519888d.bb69.495b.b4b8.07d0d4333455	81a16ca3.6299.40f0.ae7b.fe2dd2ac4243	fmt-material	swab	0.6212252616160368
121	6519888d.bb69.495b.b4b8.07d0d4333455	fa4e5dcc.7b0a.4fb1.989d.b19aec98e047	fmt-material	swab	0.6105100126306163
122	6519888d.bb69.495b.b4b8.07d0d4333455	230994e3.5682.432f.b4e4.454ca1901e0f	fmt-material	swab	0.5406203751845859
123	6519888d.bb69.495b.b4b8.07d0d4333455	0476f5aa.a4f4.4835.ada1.4e72fb601e0a	fmt-material	swab	0.7459800966738208
124	6519888d.bb69.495b.b4b8.07d0d4333455	3b2b88b4.90b1.44d2.a015.e80e723e996f	fmt-material	swab	0.6491997888254338
125	6519888d.bb69.495b.b4b8.07d0d4333455	18f853f2.0e63.400e.baac.cad966c6c0a0	fmt-material	swab	0.6419210147858364
126	6519888d.bb69.495b.b4b8.07d0d4333455	5f291738.ae0e.4805.a842.cd2bb5b50f26	fmt-material	swab	0.5523850709412865
127	6519888d.bb69.495b.b4b8.07d0d4333455	d8f4038a.7576.4fd3.89c3.60a3f6bc06c0	fmt-material	swab	0.5597649674898655
128	6519888d.bb69.495b.b4b8.07d0d4333455	1654ccec.557a.40f3.b4d9.b263f9e2ad4e	fmt-material	swab	0.5985674983407189
129	6519888d.bb69.495b.b4b8.07d0d4333455	84120710.dd14.4def.90b4.c34cbcedd38e	fmt-material	swab	0.6194645020104776
130	6519888d.bb69.495b.b4b8.07d0d4333455	ce5c847c.452d.46fc.96d9.ba2ff164a5ab	fmt-material	swab	0.5906812124586661
